Run   2:,Pupil H1 ,Pupil V1 ,Pupil D1 ,P-CR H1  ,P-CR V1  ,Dig Inp 1A
146298,  210.50,  183.30,  162.00,   -2.10,   12.10,   14.00
146299,  210.60,  183.20,  163.00,   -1.90,   12.00,   14.00
146300,  210.50,  183.10,  160.00,   -2.10,   11.90,   14.00
146301,  210.50,  183.10,  162.00,   -2.30,   12.00,   14.00
146302,  210.50,  183.30,  161.00,   -2.20,   12.10,   14.00
146303,  210.50,  183.30,  161.00,   -2.10,   12.20,   14.00
146304,  210.30,  183.30,  161.00,   -2.30,   12.20,   14.00
146305,  210.50,  183.30,  160.00,   -2.30,   12.10,   14.00
146306,  210.60,  183.40,  161.00,   -2.00,   12.30,   14.00
146307,  210.50,  183.50,  161.00,   -2.30,   12.50,   14.00
146308,  210.40,  183.50,  161.00,   -2.20,   12.40,   14.00
146309,  210.40,  183.40,  161.00,   -2.30,   12.30,   14.00
146310,  210.50,  183.50,  163.00,   -2.10,   12.50,   14.00
146311,  210.60,  183.70,  161.00,   -2.00,   12.70,   14.00
146312,  210.90,  183.60,  160.00,   -2.10,   12.80,   14.00
146313,  215.60,  180.30,  164.00,    0.10,   11.70,   14.00
146314,  225.10,  176.80,  166.00,    5.00,   10.50,   14.00
146315,  234.90,  172.60,  165.00,    8.20,    9.40,   14.00
146316,  243.10,  170.40,  164.00,   12.20,    7.90,   14.00
146317,  247.80,  168.30,  166.00,   13.80,    7.10,   14.00
146318,  250.80,  167.80,  165.00,   14.90,    7.30,   14.00
146319,  252.50,  166.90,  164.00,   15.60,    7.00,   14.00
146320,  252.80,  166.60,  165.00,   15.60,    6.90,   14.00
146321,  253.50,  166.40,  166.00,   16.10,    6.60,   14.00
146322,  253.30,  166.20,  165.00,   16.10,    6.50,   14.00
146323,  253.70,  166.00,  166.00,   16.10,    6.30,   14.00
146324,  254.00,  165.80,  165.00,   16.40,    6.10,   14.00
146325,  254.10,  165.60,  165.00,   16.20,    6.00,   14.00
146326,  254.10,  165.40,  166.00,   16.20,    5.70,   14.00
146327,  254.10,  165.30,  165.00,   15.90,    5.60,   14.00
146328,  254.40,  165.10,  165.00,   16.40,    5.40,   14.00
146329,  254.30,  165.00,  165.00,   15.90,    5.30,   14.00
146330,  254.20,  164.80,  164.00,   15.90,    5.10,   14.00
146331,  254.50,  164.80,  164.00,   16.00,    5.00,   14.00
146332,  254.50,  164.60,  161.00,   16.10,    4.90,   14.00
146333,  254.40,  164.60,  163.00,   15.80,    4.80,   14.00
146334,  254.50,  164.40,  160.00,   15.80,    4.60,   14.00
146335,  254.60,  164.20,  161.00,   16.10,    4.40,   14.00
146336,  254.70,  164.10,  163.00,   16.10,    4.30,   14.00
146337,  254.50,  164.00,  161.00,   15.90,    4.10,   14.00
146338,  255.10,  163.90,  161.00,   16.20,    4.00,   14.00
146339,  255.00,  164.00,  160.00,   16.30,    4.10,   14.00
146340,  254.60,  163.80,  157.00,   15.60,    3.90,   14.00
146341,  254.90,  163.70,  159.00,   16.10,    3.80,   14.00
146342,  254.80,  163.60,  157.00,   15.90,    3.70,   14.00
146343,  254.90,  163.50,  157.00,   16.30,    3.60,   14.00
146344,  255.00,  163.50,  157.00,   16.00,    3.60,   14.00
146345,  255.10,  163.50,  158.00,   16.30,    3.60,   14.00
146346,  255.00,  163.40,  158.00,   16.10,    3.50,   14.00
146347,  255.00,  163.30,  158.00,   16.20,    3.50,   14.00
146348,  255.00,  163.30,  158.00,   16.00,    3.50,   14.00
146349,  255.00,  163.30,  157.00,   16.00,    3.50,   14.00
146350,  255.00,  163.30,  158.00,   16.00,    3.40,   14.00
146351,  255.30,  163.10,  157.00,   16.30,    3.30,   14.00
146352,  255.10,  163.20,  158.00,   16.00,    3.30,   14.00
146353,  255.20,  163.30,  158.00,   16.30,    3.40,   14.00
146354,  254.40,  163.10,  159.00,   15.80,    3.50,   14.00
146355,  249.30,  158.00,  160.00,   13.90,    2.00,   14.00
146356,  241.10,  151.00,  160.00,   10.80,   -1.00,   14.00
146357,  231.70,  142.70,  161.00,    6.90,   -4.30,   14.00
146358,  223.10,  136.60,  162.00,    3.20,   -7.90,   14.00
146359,  214.60,  130.30,  164.00,    0.00,  -11.20,   14.00
146360,  207.60,  127.60,  162.00,   -2.80,  -13.30,   14.00
146361,  201.50,  124.70,  160.00,   -5.80,  -15.10,   14.00
146362,  198.50,  124.30,  161.00,   -7.00,  -14.80,   14.00
146363,  196.70,  123.60,  160.00,   -7.80,  -15.10,   14.00
146364,  197.00,  123.40,  159.00,   -8.00,  -15.30,   14.00
146365,  197.10,  123.40,  160.00,   -8.00,  -15.40,   14.00
146366,  197.30,  123.50,  161.00,   -8.10,  -15.50,   14.00
146367,  197.70,  123.50,  162.00,   -7.80,  -15.40,   14.00
146368,  197.70,  123.50,  159.00,   -8.00,  -15.50,   14.00
146369,  197.70,  123.60,  162.00,   -8.00,  -15.50,   14.00
146370,  198.00,  123.80,  160.00,   -7.90,  -15.30,   14.00
146371,  198.30,  123.90,  160.00,   -7.80,  -15.30,   14.00
146372,  198.10,  123.80,  160.00,   -7.80,  -15.30,   14.00
146373,  198.10,  123.90,  160.00,   -8.00,  -15.40,   14.00
146374,  198.00,  123.90,  160.00,   -8.20,  -15.40,   14.00
146375,  198.20,  123.90,  159.00,   -8.10,  -15.50,   14.00
146376,  198.50,  123.80,  158.00,   -7.80,  -15.50,   14.00
146377,  198.30,  123.80,  158.00,   -8.30,  -15.50,   14.00
146378,  198.40,  123.70,  156.00,   -7.90,  -15.60,   14.00
146379,  198.60,  123.50,  155.00,   -8.10,  -15.80,   14.00
146380,  198.30,  123.60,  154.00,   -8.20,  -15.70,   14.00
146381,  198.30,  123.50,  154.00,   -8.60,  -15.80,   14.00
